User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
14733363,male,68,190.0,94.0,29.0,105.0,40.8
15130815,female,36,151.0,50.0,23.0,96.0,40.7
19602372,female,33,158.0,56.0,22.0,95.0,40.5
11117088,male,41,175.0,85.0,25.0,100.0,40.7
12132339,male,60,186.0,94.0,21.0,97.0,40.4
17557348,female,39,156.0,62.0,28.0,104.0,40.8
14434854,female,20,165.0,59.0,29.0,100.0,41.0
15569252,female,62,159.0,59.0,29.0,106.0,41.2
17572853,female,25,160.0,59.0,24.0,102.0,40.3
18328111,female,42,165.0,68.0,22.0,93.0,40.8
19303479,male,22,182.0,84.0,29.0,114.0,41.0
16324247,female,26,182.0,80.0,21.0,96.0,40.5
14277710,male,44,184.0,86.0,25.0,114.0,40.8
15988442,male,63,179.0,80.0,25.0,108.0,40.8
17476522,female,24,171.0,66.0,24.0,105.0,40.6
17967445,female,22,158.0,62.0,25.0,105.0,40.6
10580576,male,53,191.0,101.0,21.0,106.0,40.7
11138472,female,69,164.0,65.0,23.0,113.0,40.4
12628985,male,45,175.0,79.0,27.0,104.0,40.6
13777657,male,45,169.0,69.0,22.0,113.0,40.6
19423359,female,66,174.0,69.0,28.0,111.0,40.9
11513205,female,57,163.0,68.0,29.0,109.0,40.7
12367125,male,67,192.0,92.0,24.0,108.0,40.7
11622081,female,39,168.0,63.0,29.0,108.0,40.7
19628507,male,41,187.0,89.0,23.0,99.0,40.7
11194130,female,40,163.0,62.0,27.0,111.0,41.2
15469030,male,68,171.0,80.0,22.0,95.0,40.5
12598637,male,40,201.0,98.0,24.0,110.0,40.7
11790318,male,23,189.0,87.0,23.0,110.0,40.0
11756583,male,43,183.0,88.0,26.0,107.0,40.7
13065142,female,45,158.0,53.0,23.0,106.0,40.7
10481882,female,31,165.0,60.0,25.0,115.0,40.8
14624633,male,57,169.0,81.0,30.0,112.0,40.9
17636190,male,34,181.0,83.0,25.0,102.0,40.9
19087162,male,21,188.0,90.0,29.0,110.0,40.8
10939512,female,79,152.0,60.0,29.0,107.0,40.8
13616455,male,21,189.0,91.0,27.0,114.0,41.0
17336010,female,28,158.0,60.0,27.0,113.0,40.8
15483091,male,38,188.0,93.0,28.0,104.0,40.9
10006441,male,23,169.0,73.0,25.0,102.0,40.7
13075455,female,68,159.0,68.0,24.0,108.0,40.5
12890276,female,43,175.0,72.0,23.0,100.0,40.7
14339451,male,21,186.0,79.0,29.0,111.0,41.0
17268858,male,79,179.0,91.0,27.0,107.0,40.4
13672975,male,49,184.0,86.0,26.0,103.0,40.8
17739883,female,35,149.0,54.0,21.0,111.0,40.5
14117537,male,42,185.0,78.0,26.0,110.0,41.4
10661999,male,52,189.0,90.0,22.0,96.0,40.5
10366046,male,59,166.0,73.0,23.0,101.0,40.4
11190411,female,25,157.0,57.0,23.0,107.0,40.8
19686449,male,20,188.0,84.0,27.0,104.0,41.0
17046329,male,25,181.0,81.0,23.0,101.0,40.8
13138092,female,30,153.0,53.0,26.0,108.0,40.6
16245184,female,37,148.0,51.0,29.0,108.0,40.6
19810083,female,26,170.0,68.0,23.0,105.0,40.7
17219988,male,43,171.0,79.0,30.0,115.0,40.8
13918575,female,25,164.0,63.0,21.0,101.0,40.7
16112624,female,54,151.0,57.0,25.0,115.0,40.4
17300463,female,28,176.0,72.0,27.0,112.0,40.7
14181557,male,49,183.0,89.0,25.0,111.0,40.8
19445771,male,31,179.0,77.0,24.0,97.0,40.8
12301038,male,41,178.0,76.0,28.0,104.0,40.8
18559105,female,47,179.0,75.0,25.0,110.0,40.7
12777201,female,25,180.0,75.0,23.0,97.0,40.6
12327773,male,68,191.0,98.0,22.0,99.0,41.0
17593004,male,38,192.0,92.0,21.0,104.0,40.6
11708341,female,26,164.0,59.0,23.0,108.0,40.5
10753818,male,64,178.0,83.0,24.0,103.0,41.0
11267944,female,73,158.0,57.0,29.0,103.0,40.9
19795364,male,27,180.0,86.0,24.0,107.0,40.7
19222644,male,39,199.0,104.0,26.0,101.0,40.7
14737350,male,54,188.0,90.0,23.0,108.0,40.9
15501381,male,72,197.0,102.0,25.0,106.0,40.9
16736138,male,32,171.0,78.0,29.0,112.0,40.9
14364172,female,36,163.0,67.0,27.0,97.0,40.7
14217831,female,32,159.0,63.0,23.0,103.0,40.3
18046507,male,34,191.0,94.0,29.0,109.0,40.9
16175343,male,31,203.0,105.0,29.0,113.0,40.8
16383525,male,63,204.0,112.0,29.0,110.0,40.4
17841776,male,44,194.0,87.0,27.0,108.0,40.8
13117699,male,41,173.0,71.0,28.0,104.0,41.2
10315558,male,31,186.0,85.0,28.0,106.0,40.8
10565624,female,21,168.0,65.0,25.0,109.0,40.3
13885247,male,33,190.0,97.0,24.0,100.0,40.8
11572170,female,51,157.0,60.0,21.0,103.0,40.4
12859596,female,33,175.0,67.0,25.0,101.0,41.1
14951529,female,63,166.0,68.0,26.0,108.0,40.8
15032837,female,30,163.0,58.0,22.0,109.0,40.5
18148848,male,38,189.0,91.0,24.0,100.0,40.5
12734403,male,30,197.0,103.0,27.0,109.0,40.5
10622381,female,63,176.0,79.0,29.0,111.0,40.5
17047475,female,50,182.0,75.0,22.0,111.0,40.6
18908393,male,24,183.0,80.0,27.0,116.0,40.6
10854360,male,49,193.0,100.0,22.0,99.0,40.5
14130669,male,23,182.0,81.0,30.0,112.0,41.0
15015988,male,37,192.0,95.0,21.0,98.0,40.7
13015812,male,34,185.0,83.0,23.0,97.0,40.8
13939844,female,49,168.0,67.0,21.0,98.0,40.4
19246830,female,41,150.0,51.0,22.0,95.0,40.2
14714345,male,52,188.0,93.0,21.0,107.0,40.6
14775199,female,79,178.0,80.0,25.0,104.0,40.5
14920065,male,60,184.0,86.0,27.0,105.0,41.0
10809847,male,39,162.0,72.0,28.0,108.0,40.7
15862195,male,54,190.0,95.0,22.0,110.0,40.3
12555008,male,23,195.0,89.0,27.0,104.0,41.0
15831321,male,41,179.0,85.0,25.0,101.0,40.8
16036236,female,30,168.0,67.0,29.0,107.0,40.9
19962170,female,32,156.0,56.0,23.0,113.0,40.5
16163940,female,53,168.0,65.0,21.0,102.0,40.5
17847428,male,51,189.0,95.0,30.0,112.0,41.0
18908334,male,78,177.0,86.0,23.0,100.0,40.8
15505673,female,50,177.0,70.0,22.0,106.0,40.9
13632419,male,25,185.0,89.0,27.0,104.0,40.8
18107311,female,52,160.0,59.0,25.0,103.0,40.7
